SECURITY_ID,INSTRUMENT,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE
39639,OPTIDX,NIFTY,NIFTY-Dec2028-9000-CE,NIFTY 26 DEC 9000 CALL,65.0,2028-12-26,9000.0,CE
39640,OPTIDX,NIFTY,NIFTY-Dec2028-9000-PE,NIFTY 26 DEC 9000 PUT,65.0,2028-12-26,9000.0,PE
39641,OPTIDX,NIFTY,NIFTY-Jun2029-9000-CE,NIFTY 26 JUN 9000 CALL,65.0,2029-06-26,9000.0,CE
39646,OPTIDX,NIFTY,NIFTY-Jun2029-9000-PE,NIFTY 26 JUN 9000 PUT,65.0,2029-06-26,9000.0,PE
39647,OPTIDX,NIFTY,NIFTY-Dec2029-9000-CE,NIFTY 24 DEC 9000 CALL,65.0,2029-12-24,9000.0,CE
39648,OPTIDX,NIFTY,NIFTY-Dec2029-9000-PE,NIFTY 24 DEC 9000 PUT,65.0,2029-12-24,9000.0,PE
39651,OPTIDX,NIFTY,NIFTY-Jun2030-9000-CE,NIFTY 25 JUN 9000 CALL,65.0,2030-06-25,9000.0,CE
39652,OPTIDX,NIFTY,NIFTY-Jun2030-9000-PE,NIFTY 25 JUN 9000 PUT,65.0,2030-06-25,9000.0,PE
39782,OPTIDX,NIFTY,NIFTY-Aug2026-18750-CE,NIFTY 18 AUG 18750 CALL,65.0,2026-08-18,18750.0,CE
39783,OPTIDX,NIFTY,NIFTY-Aug2026-18750-PE,NIFTY 18 AUG 18750 PUT,65.0,2026-08-18,18750.0,PE
39786,OPTIDX,NIFTY,NIFTY-Sep2026-18750-CE,NIFTY 01 SEP 18750 CALL,65.0,2026-09-01,18750.0,CE
39787,OPTIDX,NIFTY,NIFTY-Sep2026-18750-PE,NIFTY 01 SEP 18750 PUT,65.0,2026-09-01,18750.0,PE
39790,OPTIDX,NIFTY,NIFTY-Jul2026-29650-CE,NIFTY 28 JUL 29650 CALL,65.0,2026-07-28,29650.0,CE
39791,OPTIDX,NIFTY,NIFTY-Jul2026-29650-PE,NIFTY 28 JUL 29650 PUT,65.0,2026-07-28,29650.0,PE
39792,OPTIDX,NIFTY,NIFTY-Jul2026-29700-CE,NIFTY 28 JUL 29700 CALL,65.0,2026-07-28,29700.0,CE
39793,OPTIDX,NIFTY,NIFTY-Jul2026-29700-PE,NIFTY 28 JUL 29700 PUT,65.0,2026-07-28,29700.0,PE
39794,OPTIDX,NIFTY,NIFTY-Aug2026-29550-CE,NIFTY 04 AUG 29550 CALL,65.0,2026-08-04,29550.0,CE
39795,OPTIDX,NIFTY,NIFTY-Aug2026-29550-PE,NIFTY 04 AUG 29550 PUT,65.0,2026-08-04,29550.0,PE
